Wall time,Step,Value
1773414970.8912032,100,300.0
1773414984.633725,10113,296.047607421875
1773414994.520247,20204,294.5
1773415004.2363892,30204,298.7597351074219
1773415013.904064,40254,293.881591796875
1773415027.3009632,50307,295.6553955078125
1773415036.07389,60386,297.1212158203125
1773415044.946944,70430,298.31060791015625
1773415053.475012,80515,290.8399963378906
1773415062.025763,90608,292.579833984375
1773415074.1286578,100635,297.6754455566406
1773415082.2983649,110733,295.3818054199219
1773415090.562496,120742,297.53570556640625
1773415098.783974,130815,298.5044250488281
1773415107.299309,140880,298.1206970214844
1773415119.4188218,150971,294.90826416015625
1773415127.731009,161064,288.76068115234375
1773415136.088691,171067,297.54052734375
1773415144.2379892,181067,295.3177490234375
1773415152.86403,191161,286.51666259765625
1773415165.2635038,201232,290.6548767089844
1773415173.858676,211255,285.39495849609375
1773415182.134777,221290,295.0818176269531
1773415190.408464,231323,284.6785583496094
1773415198.632072,241377,291.064208984375
1773415211.1945128,251407,293.2869567871094
1773415219.892298,261453,279.2627258300781
1773415228.4848828,271518,290.47369384765625
1773415237.2678778,281596,286.7833251953125
1773415245.714203,291649,297.9391174316406
1773415257.897344,301744,291.631591796875
1773415266.29408,311746,278.6637878417969
1773415275.1380181,321783,274.6178894042969
1773415283.55316,331851,287.069580078125
1773415292.3706088,341906,293.8956604003906
1773415304.89851,351909,288.86724853515625
1773415313.457527,361916,283.112060546875
1773415322.602031,371996,272.16534423828125
1773415331.5196989,382093,272.4836120605469
1773415340.5963142,392134,269.546142578125
1773415352.891525,402212,273.2131042480469
1773415361.74314,412224,276.2640075683594
1773415370.6399722,422263,266.22833251953125
1773415379.55169,432302,275.9173583984375
1773415388.272099,442390,278.9316101074219
1773415400.432718,452410,266.8770446777344
1773415409.1361961,462467,265.5206604003906
1773415417.8017359,472503,272.3934326171875
1773415427.08222,482532,269.4227600097656
1773415435.8502269,492584,274.64166259765625
1773415448.0817258,502668,270.63934326171875
1773415457.3088481,512694,269.46875
1773415466.0185459,522782,262.80645751953125
1773415475.04993,532825,259.9440002441406
1773415483.949976,542909,259.7760009765625
1773415496.635222,552973,245.75
1773415505.894829,563037,256.85821533203125
1773415515.7056031,573073,248.8333282470703
1773415525.709217,583088,248.94737243652344
1773415535.126167,593155,245.35252380371094
1773415546.7943182,603235,252.1777801513672
1773415555.988842,613299,238.35293579101562
1773415565.1685781,623358,254.9923095703125
1773415574.377415,633393,250.08148193359375
1773415582.849231,643454,260.6198425292969
1773415595.703455,653525,236.16429138183594
1773415605.0534668,663538,237.80435180664062
1773415614.3689752,673594,239.49264526367188
1773415623.828396,683627,216.57241821289062
1773415633.0637708,693676,218.9859161376953
1773415645.567144,703737,233.26174926757812
1773415655.117037,713742,224.51724243164062
1773415664.318083,723762,227.63308715820312
1773415674.0559008,733763,221.3116912841797
1773415683.9752839,743816,211.88311767578125
1773415696.551156,753830,218.2715301513672
1773415706.839347,763877,198.5654754638672
1773415716.4606998,773897,214.45205688476562
1773415726.93979,783974,200.32334899902344
1773415736.910965,794036,190.37106323242188
1773415749.787352,804049,182.7125701904297
1773415759.5012312,814120,217.27215576171875
1773415769.703149,824149,207.79518127441406
1773415779.896499,834157,204.8698272705078
1773415789.721954,844174,200.29747009277344
1773415803.1567612,854185,176.57923889160156
1773415813.911218,864253,186.62208557128906
1773415824.135794,874253,187.79629516601562
1773415834.9358249,884302,176.53143310546875
1773415845.927259,894382,184.70718383789062
1773415858.99442,904422,181.30508422851562
1773415870.505219,914460,167.96923828125
1773415881.621533,924530,160.6719512939453
1773415893.669961,934567,178.60606384277344
1773415904.334937,944635,183.18994140625
1773415917.555773,954721,168.73655700683594
1773415929.192084,964749,171.8578643798828
1773415940.751016,974831,162.5179443359375
1773415952.2008471,984860,151.39999389648438
1773415963.690677,994876,152.2110595703125
1773415976.700852,1004896,166.1746063232422
1773415988.474863,1014903,143.27804565429688
1773416001.055747,1024911,139.37391662597656
1773416012.8006551,1034988,162.14077758789062
1773416025.915856,1044996,144.540771484375
1773416039.8829792,1055091,145.0048065185547
1773416052.362258,1065109,140.32432556152344
1773416064.864104,1075121,145.13636779785156
1773416077.504063,1085130,131.98641967773438
1773416090.909898,1095139,124.65461730957031
1773416106.420068,1105141,132.53060913085938
1773416120.5615518,1115158,131.05078125
1773416134.06494,1125168,122.77255249023438
1773416148.153128,1135200,122.16666412353516
1773416162.751394,1145222,114.36630249023438
1773416178.564524,1155275,130.09689331054688
1773416193.2343302,1165314,105.33455657958984
1773416207.11351,1175321,128.09677124023438
1773416221.446805,1185365,117.32089233398438
1773416235.5901482,1195385,116.16044616699219
1773416251.2454588,1205386,122.13671875
1773416265.631708,1215408,115.8923110961914
1773416280.510616,1225431,118.97444915771484
1773416294.5328698,1235432,130.5761260986328
1773416308.899644,1245454,114.15538024902344
1773416325.127645,1255465,121.89810943603516
1773416338.785048,1265494,126.49583435058594
1773416352.748935,1275498,119.08467864990234
1773416367.074767,1285579,122.94635772705078
1773416380.8912451,1295630,111.88353729248047
1773416397.18661,1305641,113.41263580322266
1773416411.592055,1315649,124.6500015258789
1773416425.792769,1325743,109.82022094726562
1773416441.432365,1335756,106.41580963134766
1773416454.849928,1345788,120.84710693359375
1773416470.833117,1355795,120.5019760131836
1773416484.3905249,1365893,127.63374328613281
1773416499.4231539,1375919,115.68560791015625
1773416513.03498,1385931,119.99596405029297
1773416525.901267,1396006,139.67111206054688
1773416542.855951,1406023,113.16487121582031
1773416556.981302,1416037,127.00390625
1773416571.837894,1426115,116.01136016845703
1773416587.73907,1436116,102.18212890625
1773416601.9612942,1446146,115.89453125
1773416617.5631738,1456244,121.95999908447266
1773416631.626237,1466245,115.43478393554688
1773416645.326358,1476335,114.23412322998047
1773416658.8901272,1486340,128.31512451171875
1773416673.282376,1496370,113.15589141845703
1773416688.801664,1506393,115.7298355102539
1773416702.274292,1516441,126.0
1773416715.574937,1526451,126.7074203491211
1773416728.843664,1536481,128.2586212158203
1773416743.512643,1546492,113.28252410888672
1773416759.8189929,1556499,115.66153717041016
1773416774.3227,1566513,127.5019302368164
1773416787.30048,1576550,130.2610626220703
1773416800.9884958,1586576,127.90376281738281
1773416814.011071,1596598,137.4375
1773416828.943417,1606617,124.2337646484375
1773416842.530477,1616633,131.33999633789062
1773416856.0847712,1626666,130.45306396484375
1773416869.8000371,1636671,126.8853759765625
1773416883.1191528,1646717,131.1966552734375
1773416898.582929,1656751,121.89495849609375
1773416911.613719,1666751,133.06008911132812
1773416924.0425868,1676831,152.38784790039062
1773416936.4907851,1686911,143.28909301757812
1773416949.692402,1696918,138.59640502929688
1773416964.586569,1706996,130.42034912109375
1773416977.942851,1717016,138.59375
1773416991.3587809,1727030,131.86207580566406
1773417004.612395,1737119,128.2510986328125
1773417017.855575,1747142,139.01333618164062
1773417033.27512,1757202,138.47825622558594
1773417047.0952802,1767206,133.7787628173828
1773417060.322915,1777256,138.8913116455078
1773417073.469422,1787269,140.48214721679688
1773417087.992979,1797352,119.3833999633789
1773417103.106796,1807426,138.37991333007812
1773417116.3863082,1817522,125.50638580322266
1773417129.424993,1827533,137.99107360839844
1773417143.065207,1837569,129.75
1773417155.273528,1847596,150.38784790039062
1773417170.627062,1857623,136.10203552246094
1773417184.4693172,1867629,126.35832977294922
1773417197.352237,1877648,123.92105102539062
1773417210.8075259,1887734,130.08438110351562
1773417224.673121,1897742,122.16996002197266
1773417239.953297,1907761,123.17768859863281
1773417253.4254348,1917774,123.38723754882812
1773417267.435732,1927822,124.23387145996094
1773417281.932589,1937910,133.2703857421875
1773417296.400682,1948003,121.04435729980469
1773417311.8515708,1958007,120.66519927978516
1773417325.358948,1968058,128.25877380371094
1773417339.872767,1978153,117.59469604492188
1773417353.96782,1988174,115.86614227294922
1773417368.123156,1998211,128.09561157226562
1773417384.0707462,2008307,126.33599853515625
1773417398.069493,2018313,123.3803939819336
1773417411.697529,2028335,126.61475372314453
1773417425.8471098,2038421,120.35199737548828
1773417439.985733,2048478,126.03461456298828
1773417456.1338298,2058483,117.28346252441406
1773417469.100943,2068509,125.3026351928711
1773417483.185303,2078526,127.13953399658203
1773417496.2468312,2088531,123.59734344482422
1773417509.421767,2098540,120.50214385986328
1773417525.5928462,2108619,122.73750305175781
1773417538.9011369,2118639,115.51851654052734
1773417552.4582772,2128664,117.8559341430664
1773417566.148086,2138668,118.84362030029297
1773417579.456689,2148699,132.0336151123047
1773417594.440275,2158728,135.1983184814453
1773417608.24794,2168738,120.00816345214844
1773417621.507073,2178765,115.4852294921875
1773417635.568477,2188846,115.45849609375
1773417650.6927922,2198885,108.43173217773438
1773417667.488422,2208896,107.2249984741211
1773417681.853108,2218916,119.70769500732422
1773417696.468653,2228931,107.04545593261719
1773417710.2026749,2238957,123.36178588867188
1773417723.897624,2248989,120.61133575439453
1773417739.8269372,2258997,117.08943176269531
1773417753.2412128,2269014,117.20164489746094
1773417766.9729059,2279022,126.65322875976562
1773417781.0171971,2289028,118.0526351928711
1773417795.530664,2299042,104.94776153564453
1773417811.300493,2309047,109.83267211914062
1773417826.337249,2319056,110.53479766845703
1773417841.676012,2329092,106.4476547241211
1773417856.018334,2339094,110.87937927246094
1773417871.560107,2349107,104.3914566040039
1773417887.287329,2359133,116.8250961303711
1773417903.346585,2369212,101.8498306274414
1773417918.626941,2379230,118.83999633789062
1773417933.075477,2389234,112.05681610107422
1773417947.3664892,2399234,110.81748962402344
1773417964.183393,2409235,113.85454559326172
1773417980.24228,2419299,97.92131042480469
1773417995.265564,2429310,114.24372863769531
1773418010.677997,2439360,105.4275894165039
1773418026.48275,2449360,97.97966003417969
1773418043.22162,2459376,111.43706512451172
1773418058.743906,2469379,108.57394409179688
1773418073.788508,2479404,98.93971252441406
1773418089.498989,2489422,100.35438537597656
1773418104.790714,2499462,102.83211517333984
1773418121.866267,2509483,99.87628936767578
1773418138.515936,2519504,94.74607849121094
1773418153.432805,2529536,114.9148178100586
1773418169.035497,2539536,100.21917724609375
1773418184.1093519,2549539,104.70609283447266
1773418201.9348311,2559562,100.25337982177734
1773418218.027135,2569576,93.80718994140625
1773418233.6029298,2579602,104.38947296142578
1773418249.6470132,2589607,99.16278839111328
1773418265.20415,2599628,99.60942840576172
1773418283.254926,2609660,97.52960205078125
1773418299.093844,2619751,91.61409759521484
1773418314.580662,2629767,106.090576171875
1773418329.7086248,2639767,113.39705657958984
1773418345.3162398,2649792,97.21527862548828
1773418361.497237,2659797,108.48326873779297
1773418376.2671309,2669803,107.24242401123047
1773418391.884783,2679827,103.16901397705078
1773418407.1369889,2689831,107.74468231201172
1773418422.146106,2699854,101.55839538574219
1773418438.77107,2709951,107.77536010742188
1773418453.920038,2719971,105.01083374023438
1773418469.723639,2729986,99.61591339111328
1773418484.470939,2739997,107.33209228515625
1773418500.425712,2750019,112.2789077758789
1773418517.299841,2760081,104.45126342773438
1773418532.829982,2770091,90.25167846679688
1773418548.810841,2780113,108.51219177246094
1773418564.374197,2790137,106.38461303710938
1773418580.452561,2800144,104.77173614501953
1773418599.0971599,2810204,103.94158172607422
1773418614.415713,2820209,112.84892272949219
1773418629.782072,2830251,105.47887420654297
1773418644.9042041,2840280,108.49275207519531
1773418660.4792142,2850297,99.82685852050781
1773418678.077693,2860354,108.50680541992188
1773418692.9444108,2870355,113.39033508300781
1773418708.178509,2880374,99.20138549804688
1773418722.945086,2890390,105.71955871582031
1773418737.662539,2900398,116.2581787109375
1773418755.929255,2910404,96.05479431152344
1773418771.056816,2920437,112.90877532958984
1773418787.712041,2930455,95.06012725830078
1773418802.597711,2940501,94.13619995117188
1773418817.931068,2950594,103.15248107910156
1773418835.474547,2960599,95.0
1773418851.483597,2970608,99.67666625976562
1773418867.188755,2980612,104.56478118896484
1773418883.037143,2990662,101.93421173095703
1773418899.730759,3000678,92.53968048095703
1773418917.593696,3010695,96.51582336425781
1773418933.555435,3020699,87.55775451660156
1773418949.561405,3030708,93.2247543334961
1773418965.4804459,3040734,95.43408203125
1773418982.4398699,3050821,89.00949096679688
1773419000.0790558,3060825,102.45901489257812
1773419015.813906,3070855,94.97077941894531
1773419032.7856152,3080873,91.27777862548828
1773419048.1214888,3090907,100.37883758544922
1773419063.574633,3100919,109.01718139648438
1773419080.323664,3110963,100.62245178222656
1773419096.49453,3121026,107.2282943725586
1773419113.604139,3131040,89.24687194824219
1773419129.067848,3141049,101.89735412597656
1773419144.5023282,3151139,99.46843719482422
1773419162.149756,3161153,89.12820434570312
1773419178.12903,3171179,98.41639709472656
1773419193.4159412,3181201,89.64983367919922
1773419209.958615,3191223,92.71154022216797
1773419224.759261,3201225,101.33442687988281
1773419243.296097,3211236,99.46017456054688
1773419260.59297,3221300,89.17948913574219
1773419276.231523,3231315,92.30599212646484
1773419292.768557,3241332,101.40255737304688
1773419309.196519,3251345,93.0157699584961
1773419326.4814239,3261362,95.77399444580078
1773419343.296225,3271382,102.3890609741211
1773419359.515657,3281383,98.5968246459961
1773419375.775881,3291386,89.7003173828125
1773419392.104786,3301399,93.7741928100586
1773419409.054612,3311417,90.01007080078125
1773419425.407582,3321476,96.42633056640625
1773419442.278931,3331498,89.51258087158203
1773419458.1384,3341512,88.234375
1773419474.969899,3351514,88.07902526855469
1773419492.934519,3361518,87.89665985107422
1773419508.9686651,3371534,98.87619018554688
1773419525.809719,3381540,90.07855224609375
1773419542.114499,3391609,95.8715591430664
1773419558.218643,3401619,96.69325256347656
1773419575.2562811,3411624,103.04153442382812
1773419591.948083,3421649,101.39349365234375
1773419607.633195,3431671,99.65286254882812
1773419624.383536,3441687,96.15178680419922
1773419640.193045,3451714,90.74038696289062
1773419658.322037,3461714,89.57538604736328
1773419675.363023,3471721,79.07142639160156
1773419691.354362,3481730,82.96987915039062
1773419707.137964,3491749,89.12578582763672
1773419723.0001438,3501843,93.08385467529297
