Wall time,Step,Value
1766559096.986222,4,400.0
1766559114.141658,10047,400.0
1766559129.697952,20077,400.0
1766559144.069553,30080,398.3050842285156
1766559158.1245272,40101,400.0
1766559175.063549,50119,397.8947448730469
1766559187.498292,60173,395.5555419921875
1766559198.007614,70174,391.6666564941406
1766559209.404014,80236,397.4683532714844
1766559219.5492082,90245,396.9230651855469
1766559234.817921,100283,396.8254089355469
1766559245.348245,110352,396.875
1766559255.484801,120416,400.0
1766559265.215014,130499,396.6942138671875
1766559275.333334,140507,400.0
1766559289.9874501,150560,400.0
1766559299.681856,160587,400.0
1766559309.9885702,170645,393.9849548339844
1766559319.829321,180697,400.0
1766559330.121259,190761,400.0
1766559344.177124,200766,400.0
1766559354.203321,210808,400.0
1766559364.368119,220873,393.8461608886719
1766559374.73564,230941,393.93939208984375
1766559385.5252821,240995,397.22222900390625
1766559400.2210612,251022,397.0149230957031
1766559410.2231739,261090,396.7479553222656
1766559420.157238,271090,390.1639404296875
1766559429.779181,281108,393.10345458984375
1766559439.6626189,291140,390.4761962890625
1766559454.205995,301211,387.69232177734375
1766559464.550546,311265,390.8396911621094
1766559474.577269,321308,400.0
1766559484.568949,331309,393.7007751464844
1766559494.697901,341394,396.9230651855469
1766559509.430433,351477,397.0149230957031
1766559519.06351,361530,386.55462646484375
1766559528.947443,371565,393.6507873535156
1766559538.8490748,381588,390.1639404296875
1766559549.1179361,391637,396.9230651855469
1766559563.123776,401646,393.3333435058594
1766559573.016526,411691,400.0
1766559583.05701,421708,387.4015808105469
1766559592.706151,431757,396.5517272949219
1766559602.748917,441844,390.5511779785156
1766559616.176165,451853,382.9059753417969
1766559625.960716,461922,387.20001220703125
1766559636.0949628,471962,387.8787841796875
1766559646.083849,482060,387.5
1766559656.147715,492067,393.4959411621094
1766559670.6493068,502113,377.77777099609375
1766559680.3907058,512122,393.388427734375
1766559690.1931598,522127,387.30157470703125
1766559700.2388532,532181,384.4961242675781
1766559710.2490292,542236,384.7328186035156
1766559723.953759,552253,377.0491943359375
1766559733.979404,562313,368.5039367675781
1766559744.00279,572322,381.3953552246094
1766559753.9441888,582409,380.6451721191406
1766559763.916055,592454,380.952392578125
1766559778.417683,602537,369.9248046875
1766559788.426663,612570,357.57574462890625
1766559798.286432,622611,383.4710693359375
1766559808.3826098,632709,363.3587646484375
1766559818.288952,642784,377.6000061035156
1766559832.330036,652832,372.9323425292969
1766559842.756611,662844,376.1194152832031
1766559852.815167,672846,384.1269836425781
1766559862.6782131,682922,365.8914794921875
1766559872.784417,693016,373.7226257324219
1766559886.3268878,703056,374.3999938964844
1766559896.8858728,713137,340.8450622558594
1766559906.514177,723190,377.9527587890625
1766559916.751641,733207,343.2624206542969
1766559926.7993238,743218,358.5185241699219
1766559940.24704,753225,367.1641845703125
1766559950.178792,763311,357.2519226074219
1766559960.17563,773378,364.1791076660156
1766559970.5015638,783451,348.09161376953125
1766559981.560917,793454,357.2519226074219
1766559996.603276,803489,345.71429443359375
1766560007.214693,813508,341.6058349609375
1766560017.64529,823577,345.32373046875
1766560027.93011,833615,345.71429443359375
1766560038.130029,843659,337.77777099609375
1766560052.322887,853729,342.446044921875
1766560062.817804,863731,314.28570556640625
1766560072.875954,873777,336.84210205078125
1766560082.6837509,883796,340.157470703125
1766560093.548629,893889,310.8108215332031
1766560107.360617,903951,317.24139404296875
1766560117.48527,913995,334.28570556640625
1766560128.117706,924089,341.6666564941406
1766560138.834616,934147,324.83221435546875
1766560149.085959,944197,339.13043212890625
1766560163.4066,954238,317.4193420410156
