Wall time,Step,Value
1772003528.091755,30283,600.0
1772003587.963493,50283,600.0
1772003668.207541,60283,600.0
1772003728.7324538,80529,588.2352905273438
1772003837.069835,100695,588.2352905273438
1772003869.581136,110796,576.4705810546875
1772003901.254721,120864,554.7169799804688
1772003932.831855,131043,566.0377197265625
1772003962.2188559,141205,544.4444580078125
1772004038.7486238,151373,534.5454711914062
1772004067.780985,161443,512.727294921875
1772004096.968502,171642,501.81817626953125
1772004126.3761659,181646,503.5714416503906
1772004155.696788,191745,484.2105407714844
1772004229.209213,201895,492.8571472167969
1772004292.52194,222131,455.17242431640625
1772004354.4421408,242251,427.11865234375
1772004425.800694,252390,406.45159912109375
1772004616.9801931,302777,361.9047546386719
1772004648.294302,312937,406.7796630859375
1772004679.747752,323094,304.34783935546875
1772004709.926375,333105,369.23077392578125
1772004740.2666502,343289,406.45159912109375
1772004843.754327,363459,345.4545593261719
1772004938.636585,393635,350.76922607421875
1772005005.717205,403759,377.4193420410156
1772005065.976495,423852,286.9565124511719
1772005096.133022,433967,369.23077392578125
1772005126.938942,444094,371.4285583496094
1772005193.585823,454196,365.625
1772005255.268224,474500,363.6363525390625
1772005319.293683,494696,300.0
1772005384.431123,504744,345.4545593261719
1772005479.213323,535160,266.6666564941406
1772005510.521194,545286,278.87322998046875
1772005578.654152,555383,279.4520568847656
1772005610.8683531,565451,283.3333435058594
1772005640.943062,575463,365.625
1772005772.248974,605684,241.55844116210938
1772005803.869642,615728,221.05262756347656
1772005866.017558,635847,218.91891479492188
1772005897.14354,645848,261.9718322753906
1772005962.9334989,655874,245.07041931152344
1772005995.0669801,665886,304.34783935546875
1772006026.449312,675890,232.0
1772006060.9689002,686068,218.18182373046875
1772006092.149467,696068,246.57534790039062
1772006186.5742168,716190,253.52113342285156
1772006218.441735,726289,228.94737243652344
1772006249.940067,736369,205.06329345703125
1772006281.656511,746533,264.0
1772006377.70941,766708,256.0
1772006441.310873,786777,227.0270233154297
1772006473.4045498,796871,232.0
1772006570.03114,817059,266.6666564941406
1772006602.954405,827159,187.5
1772006665.3484108,847331,210.38961791992188
1772006729.3663151,857430,243.2432403564453
1772006760.643224,867498,210.81080627441406
1772006792.258467,877556,228.94737243652344
1772006823.508905,887661,244.73684692382812
1772006854.591159,897661,221.05262756347656
1772006951.474591,918014,195.0
1772006983.390823,928045,195.0
1772007015.216413,938177,225.97402954101562
1772007048.9759018,948250,200.0
1772007250.6006541,998540,185.1851806640625
1772007315.764514,1008647,205.06329345703125
1772007382.1037838,1028687,170.37037658691406
1772007447.589786,1048721,200.0
1772007513.266943,1058799,169.41175842285156
1772007546.450293,1068866,197.46835327148438
1772007647.35296,1099121,205.26315307617188
1772007814.3025331,1139456,160.46511840820312
1772007942.262541,1169563,173.4939727783203
1772008008.884508,1189761,168.2926788330078
1772008041.853848,1199827,180.0
1772008109.156655,1209869,151.72413635253906
1772008243.3542762,1250221,153.65853881835938
1772008307.352005,1260245,148.23529052734375
1772008339.4950569,1270270,224.0
1772008371.620786,1280330,192.3076934814453
1772008438.054353,1300490,187.5
1772008501.301478,1310587,153.65853881835938
1772008600.3536189,1340828,141.1764678955078
1772008730.966804,1370993,120.0
1772008763.9504588,1381046,187.5
1772008829.2228448,1401142,252.63157653808594
1772008925.643281,1421382,240.0
1772008958.123729,1431487,194.80519104003906
1772008991.007194,1441561,168.2926788330078
1772009023.260997,1451598,151.8987274169922
1772009088.321437,1461602,178.57142639160156
1772009122.995877,1471621,146.51162719726562
1772009190.668454,1491777,143.18182373046875
1772009225.41505,1501898,182.2784881591797
1772009289.55141,1511991,151.72413635253906
1772009323.97753,1522019,141.1764678955078
1772009389.586175,1542136,123.91304016113281
1772009421.9090428,1552171,190.243896484375
1772009484.437221,1562354,202.5
1772009550.5153751,1582533,139.53488159179688
1772009583.4570382,1592587,125.5813980102539
1772009615.3892832,1602640,228.94737243652344
1772009712.714653,1622749,189.8734130859375
1772009747.956807,1632838,195.18072509765625
1772009814.6198301,1652865,200.0
1772009875.5458891,1662917,210.0
1772009941.026707,1683036,180.72288513183594
1772009972.9863198,1693051,194.80519104003906
1772010033.344958,1703181,180.0
1772010099.000525,1723367,171.42857360839844
