Wall time,Step,Value
1772209285.4115689,30469,0.0
1772209313.196246,50469,0.0
1772209324.76301,60562,0.0
1772209343.8586361,80668,0.0
1772209374.679295,100668,0.0
1772209385.0762,110668,0.0
1772209394.3597388,120668,0.0
1772209403.898535,130668,0.0
1772209413.742305,140668,0.0
1772209433.919708,150668,0.0
1772209444.252172,160668,0.0
1772209453.7520158,170668,0.0
1772209463.940063,180668,0.0
1772209474.3766148,190668,0.0
1772209494.298309,200668,0.0
1772209513.7768981,220709,0.0
1772209535.6446779,240709,0.0
1772209557.198528,250709,0.0
1772209618.82361,300834,0.0
1772209628.5140631,310834,0.0
1772209637.5187871,320834,0.0
1772209646.607966,330834,0.0
1772209656.6233878,340834,0.0
1772209686.449322,360834,0.0
1772209717.123233,390834,0.0
1772209736.622188,400834,0.0
1772209755.715928,420834,0.0
1772209764.8894742,430834,0.0
1772209774.5919511,440834,0.0
1772209794.6850328,450834,0.0
1772209814.602914,470834,0.0
1772209833.66935,490984,0.0
1772209852.5863092,501025,0.0
1772209880.261782,531082,0.0
1772209889.316594,541082,0.0
1772209909.179845,551082,0.0
1772209918.2013812,561082,0.0
1772209927.128054,571082,0.0
1772209964.3212879,601082,0.0
1772209973.290727,611082,0.0
1772209991.642166,631082,0.0
1772210000.489325,641082,0.0
1772210019.924524,651082,0.0
1772210029.907567,661082,0.0
1772210039.815701,671082,0.0
1772210049.612511,681228,0.0
1772210058.961183,691228,0.0
1772210087.611237,711294,0.0
1772210096.6263008,721294,0.0
1772210105.993469,731294,0.0
1772210115.0856478,741294,0.0
1772210143.2965162,761398,0.0
1772210161.462965,781398,0.0
1772210170.470473,791398,0.0
1772210198.594013,811572,0.0
1772210207.893026,821572,0.0
1772210227.5302951,841572,0.0
1772210247.026311,851572,0.0
1772210256.400272,861572,0.0
1772210266.3933299,871735,0.0
1772210275.745101,881735,0.0
1772210284.914138,891735,0.0
1772210312.7162728,911735,0.0
1772210321.630432,921735,0.0
1772210330.3022609,931735,0.0
1772210339.2512808,941735,0.0
1772210394.869168,991801,0.0
1772210414.168426,1001947,0.0
1772210432.470219,1021947,0.0
1772210450.5135229,1041947,0.0
1772210469.7045429,1051947,0.0
1772210478.724877,1062007,0.0
1772210505.8730829,1092178,0.0
1772210551.5865548,1132241,0.0
1772210588.657403,1162310,0.0
1772210606.663947,1182353,0.0
1772210615.6882381,1192425,0.0
1772210634.6928902,1202451,0.0
1772210671.4120162,1242798,0.0
1772210690.1235788,1252798,0.0
1772210700.055862,1262861,0.0
1772210709.96332,1273058,0.0
1772210728.673068,1293058,0.0
1772210748.020473,1303140,0.0
1772210775.1430972,1333224,0.0
1772210812.1564212,1363286,0.0
1772210821.396888,1373286,0.0
1772210839.797051,1393333,0.0
1772210867.5472589,1413333,0.0
1772210876.633048,1423333,0.0
1772210885.787076,1433508,0.0
1772210894.628872,1443508,0.0
1772210913.760833,1453546,0.0
1772210922.7420642,1463546,0.0
1772210941.578499,1483720,0.0
1772210950.800904,1493791,0.0
1772210969.903892,1503897,0.0
1772210979.498423,1514036,0.0
1772210997.5122828,1534036,0.0
1772211006.887234,1544065,0.0
1772211025.804119,1554131,0.0
1772211044.662913,1574286,0.0
1772211053.769564,1584286,0.0
1772211063.110633,1594306,0.0
1772211091.678665,1614346,0.0
1772211100.8621309,1624346,0.0
1772211119.68223,1644346,0.0
1772211138.495103,1654346,0.0
1772211157.27867,1674516,0.0
1772211167.276841,1684641,0.0
1772211177.172508,1694641,0.0
1772211206.600045,1714930,0.0
1772211253.2179048,1755150,0.0
1772211262.328226,1765218,0.0
1772211271.445293,1775218,0.0
1772211280.6653728,1785250,0.0
1772211308.94683,1805277,0.0
1772211318.4044511,1815323,0.0
1772211337.1457012,1835453,0.0
1772211365.600163,1855512,0.0
1772211374.972359,1865512,0.0
1772211384.107399,1875558,0.0
1772211393.545224,1885737,0.0
1772211422.2174568,1905829,0.0
1772211431.5845098,1915829,0.0
1772211506.6059651,1986401,0.0
1772211553.352028,2026554,0.0
1772211591.344924,2056701,0.0
1772211600.620966,2066744,0.0
1772211609.7483652,2076744,0.0
1772211618.96543,2086787,0.0
1772211666.59307,2127299,0.0
1772211676.091488,2137299,0.0
1772211685.433889,2147299,0.0
1772211704.2394218,2157336,0.0
1772211732.0838091,2187591,0.0
1772211741.5264661,2197717,0.0
1772211760.954067,2207724,0.0
1772211770.4296918,2217912,0.0
1772211779.8602948,2228030,0.0
1772211789.0441558,2238159,0.0
1772211817.2255979,2258496,0.0
1772211826.6241121,2268555,0.0
1772211835.6342242,2278555,0.0
1772211854.445895,2298812,0.0
1772211873.406723,2308812,0.0
1772211882.8599029,2318868,0.0
1772211892.3229089,2328898,0.0
1772211901.989581,2338954,0.0
1772211911.457197,2348982,0.0
1772211949.6411252,2379259,0.0
1772211958.935379,2389313,0.0
1772211987.1638012,2409492,0.0
1772212025.2198331,2449819,0.0
1772212044.123295,2459905,0.0
1772212063.2010748,2480077,0.0
1772212072.7033758,2490270,0.0
1772212082.037499,2500434,0.0
1772212100.8086138,2510472,0.0
1772212110.346039,2520525,0.0
1772212119.806058,2530582,0.0
1772212157.4042492,2560741,0.0
1772212185.684947,2591076,0.0
1772212195.0293398,2601257,0.0
1772212213.857204,2611358,0.0
1772212223.230077,2621426,0.0
1772212241.830886,2641691,0.0
1772212270.265883,2661782,0.0
1772212289.5254982,2681995,0.0
1772212307.764698,2702184,0.0
1772212336.195486,2722323,0.0
1772212345.657297,2732409,0.0
1772212355.1964118,2742486,0.0
1772212364.730614,2752532,0.0
1772212384.435235,2762680,0.0
1772212403.428195,2782786,0.0
1772212413.118101,2792929,0.0
1772212441.139353,2813153,0.0
1772212461.1508281,2833430,0.0
1772212482.2092001,2853622,0.0
1772212540.0768158,2904224,0.0
1772212567.85265,2924345,0.0
1772212577.53874,2934476,0.0
1772212605.0454788,2954652,0.0
1772212614.412201,2964652,0.0
1772212624.097752,2974751,0.0
1772212633.258379,2984809,0.0
1772212642.640903,2994834,0.0
1772212661.342195,3004889,0.0
1772212670.7298071,3015005,0.0
1772212680.0549781,3025026,0.0
1772212689.597992,3035045,0.0
1772212699.186442,3045173,0.0
